"TIME","European Union - 28 countries (2013-2020)","Belgium","Czechia","Denmark","Spain","Italy","Lithuania","Poland","Finland","Sweden","ISCO","total_Belgium","share_Belgium","total_Spain","share_Spain","total_Poland","share_Poland","Group.1","t_1A1f1","t_1A2a2","t_2B1a","t_4A2a4","t_4A2b2","t_4A3a3","t_4A3a4","t_4A4a1","t_4A4a4","t_4A4b4","t_4A4b5","t_4C2d1g","t_4C2d1i","t_4C3b4","t_4C3b7","t_4C3d3","t_4C3b8_rev","t_4C1a2l_rev","t_4A4a5_rev","t_4A4a8_rev","t_4A1b2_rev","t_4A3a2_rev","t_4A3b4_rev","t_4A3b5_rev","std_Belgium_t_4A2a4","std_Poland_t_4A2a4","std_Spain_t_4A2a4","std_Belgium_t_4A2b2","std_Poland_t_4A2b2","std_Spain_t_4A2b2","std_Belgium_t_4A4a1","std_Poland_t_4A4a1","std_Spain_t_4A4a1","Belgium_NRCA","Spain_NRCA","Poland_NRCA","std_Belgium_NRCA","std_Poland_NRCA","std_Spain_NRCA","multip_Belgium_NRCA","multip_Spain_NRCA","multip_Poland_NRCA"
"2019-Q1","25794.6",466.1,834.6,204.5,2138.9,2912.1,190.3,2502,239.4,464.3,7,4683.8,0.0995132157649772,19160.5,0.111630698572584,15691,0.159454464342617,7,1.78018204546776,3.35236799620133,2.81968516095897,2.81607600248076,3.18806752330562,3.48258683644398,2.98026563075373,2.72928754578755,3.20362125220459,2.74165560497703,2.79798457274648,4.29760541310541,3.55051387677578,4.23591442331919,3.12310398860399,2.65140691319263,2.17200307619048,1.56806465555556,3.43737253174603,3.48613361428571,2.24260767619048,2.2010131031746,3.04322783968254,3.62978335079365,-0.860117073429427,-0.677642819441498,-0.598326982102666,-0.163306993933662,-0.0399080528269275,0.0428137107817627,-0.985332077805385,-0.780155807849903,-0.770265940340884,-2.00875614516847,-1.32577921166179,-1.49770668011833,-0.686469764993001,-0.511589481082089,-0.454590958740594,-0.0683128138398816,-0.0507463062889933,-0.0815752266692617
"2019-Q2","25860.1",488,840.9,205,2177.7,2952.4,190.4,2493.7,257.5,459.2,7,4769.3,0.102321095338939,19478.8,0.111798468078116,15904.2,0.15679506042429,7,1.78018204546776,3.35236799620133,2.81968516095897,2.81607600248076,3.18806752330562,3.48258683644398,2.98026563075373,2.72928754578755,3.20362125220459,2.74165560497703,2.79798457274648,4.29760541310541,3.55051387677578,4.23591442331919,3.12310398860399,2.65140691319263,2.17200307619048,1.56806465555556,3.43737253174603,3.48613361428571,2.24260767619048,2.2010131031746,3.04322783968254,3.62978335079365,-0.860117073429427,-0.677642819441498,-0.598326982102666,-0.163306993933662,-0.0399080528269275,0.0428137107817627,-0.985332077805385,-0.780155807849903,-0.770265940340884,-2.00875614516847,-1.32577921166179,-1.49770668011833,-0.686469764993001,-0.511589481082089,-0.454590958740594,-0.0702403382711476,-0.0508225727893603,-0.0802147035986975
"2019-Q3","25774.5",493.7,824.5,212.6,2177,2895.6,187.7,2519.6,254.8,467.4,7,4784.9,0.103178749817133,19543.7,0.111391394669382,15994.8,0.157526196013704,7,1.78018204546776,3.35236799620133,2.81968516095897,2.81607600248076,3.18806752330562,3.48258683644398,2.98026563075373,2.72928754578755,3.20362125220459,2.74165560497703,2.79798457274648,4.29760541310541,3.55051387677578,4.23591442331919,3.12310398860399,2.65140691319263,2.17200307619048,1.56806465555556,3.43737253174603,3.48613361428571,2.24260767619048,2.2010131031746,3.04322783968254,3.62978335079365,-0.860117073429427,-0.677642819441498,-0.598326982102666,-0.163306993933662,-0.0399080528269275,0.0428137107817627,-0.985332077805385,-0.780155807849903,-0.770265940340884,-2.00875614516847,-1.32577921166179,-1.49770668011833,-0.686469764993001,-0.511589481082089,-0.454590958740594,-0.0708290921392389,-0.0506375208982062,-0.0805887448754865
"2019-Q4","25687.1",484.7,830.8,200.3,2177.6,2917.2,186.4,2495.6,245.3,446.6,7,4758.2,0.101866251944012,19639.3,0.110879715672147,15851.8,0.157433225248868,7,1.78018204546776,3.35236799620133,2.81968516095897,2.81607600248076,3.18806752330562,3.48258683644398,2.98026563075373,2.72928754578755,3.20362125220459,2.74165560497703,2.79798457274648,4.29760541310541,3.55051387677578,4.23591442331919,3.12310398860399,2.65140691319263,2.17200307619048,1.56806465555556,3.43737253174603,3.48613361428571,2.24260767619048,2.2010131031746,3.04322783968254,3.62978335079365,-0.860117073429427,-0.677642819441498,-0.598326982102666,-0.163306993933662,-0.0399080528269275,0.0428137107817627,-0.985332077805385,-0.780155807849903,-0.770265940340884,-2.00875614516847,-1.32577921166179,-1.49770668011833,-0.686469764993001,-0.511589481082089,-0.454590958740594,-0.069928102032724,-0.0504049162522858,-0.0805411820101478
"2020-Q1",":",480.7,823.1,198.8,2154.7,2873.2,187.7,2453.4,230.7,434,7,4741.1,0.101389972791124,19336.8,0.111430019444789,15827.5,0.155008687411151,7,1.78018204546776,3.35236799620133,2.81968516095897,2.81607600248076,3.18806752330562,3.48258683644398,2.98026563075373,2.72928754578755,3.20362125220459,2.74165560497703,2.79798457274648,4.29760541310541,3.55051387677578,4.23591442331919,3.12310398860399,2.65140691319263,2.17200307619048,1.56806465555556,3.43737253174603,3.48613361428571,2.24260767619048,2.2010131031746,3.04322783968254,3.62978335079365,-0.860117073429427,-0.677642819441498,-0.598326982102666,-0.163306993933662,-0.0399080528269275,0.0428137107817627,-0.985332077805385,-0.780155807849903,-0.770265940340884,-2.00875614516847,-1.32577921166179,-1.49770668011833,-0.686469764993001,-0.511589481082089,-0.454590958740594,-0.0696011507945699,-0.0506550793718897,-0.0793008139558867
"2020-Q2",":",465.9,827.2,197.3,2040.7,2888.5,184.5,2460.9,248,436,7,4682,0.099508756941478,18270,0.111696770662288,15695.8,0.15678716599345,7,1.78018204546776,3.35236799620133,2.81968516095897,2.81607600248076,3.18806752330562,3.48258683644398,2.98026563075373,2.72928754578755,3.20362125220459,2.74165560497703,2.79798457274648,4.29760541310541,3.55051387677578,4.23591442331919,3.12310398860399,2.65140691319263,2.17200307619048,1.56806465555556,3.43737253174603,3.48613361428571,2.24260767619048,2.2010131031746,3.04322783968254,3.62978335079365,-0.860117073429427,-0.677642819441498,-0.598326982102666,-0.163306993933662,-0.0399080528269275,0.0428137107817627,-0.985332077805385,-0.780155807849903,-0.770265940340884,-2.00875614516847,-1.32577921166179,-1.49770668011833,-0.686469764993001,-0.511589481082089,-0.454590958740594,-0.068309752992362,-0.0507763420635977,-0.0802106648909206
"2020-Q3",":",467.4,818.7,216.5,2117,2930.2,180,2471.7,255,440,7,4741.1,0.0985847166269431,18808.4,0.112556091958912,15863.2,0.155813455040597,7,1.78018204546776,3.35236799620133,2.81968516095897,2.81607600248076,3.18806752330562,3.48258683644398,2.98026563075373,2.72928754578755,3.20362125220459,2.74165560497703,2.79798457274648,4.29760541310541,3.55051387677578,4.23591442331919,3.12310398860399,2.65140691319263,2.17200307619048,1.56806465555556,3.43737253174603,3.48613361428571,2.24260767619048,2.2010131031746,3.04322783968254,3.62978335079365,-0.860117073429427,-0.677642819441498,-0.598326982102666,-0.163306993933662,-0.0399080528269275,0.0428137107817627,-0.985332077805385,-0.780155807849903,-0.770265940340884,-2.00875614516847,-1.32577921166179,-1.49770668011833,-0.686469764993001,-0.511589481082089,-0.454590958740594,-0.0676754272547992,-0.0511669817556963,-0.0797125246098264
"2020-Q4",":",472.1,809.8,208.3,2170.9,2885.9,178.4,2446.3,233.2,445.2,7,4711,0.100212269157291,18958,0.114511024369659,15902.4,0.153832125968407,7,1.78018204546776,3.35236799620133,2.81968516095897,2.81607600248076,3.18806752330562,3.48258683644398,2.98026563075373,2.72928754578755,3.20362125220459,2.74165560497703,2.79798457274648,4.29760541310541,3.55051387677578,4.23591442331919,3.12310398860399,2.65140691319263,2.17200307619048,1.56806465555556,3.43737253174603,3.48613361428571,2.24260767619048,2.2010131031746,3.04322783968254,3.62978335079365,-0.860117073429427,-0.677642819441498,-0.598326982102666,-0.163306993933662,-0.0399080528269275,0.0428137107817627,-0.985332077805385,-0.780155807849903,-0.770265940340884,-2.00875614516847,-1.32577921166179,-1.49770668011833,-0.686469764993001,-0.511589481082089,-0.454590958740594,-0.0687926928578212,-0.0520556763545709,-0.078698897497932
"2011-Q1","15658.4",302.1,664.9,131.8,1455.7,1636.7,131.2,1507.4,193.3,362.2,8,4391.5,0.0687919845155414,18169.2,0.0801191026572441,15027.1,0.10031210280094,8,2.07610606060606,3.30820972886762,2.75633433014354,2.83339872408293,2.76817025518341,3.93467384370016,3.27298863636364,2.69292703349282,3.25023106060606,2.56697188995215,2.71699282296651,4.24561164274322,3.62045454545455,4.03625159489633,3.35125677830941,3.35849840510367,2.49110526578947,1.65551295526316,3.28628708947368,3.79291030789474,2.04583832894737,2.15872648157895,2.93052273157895,3.61549142894737,-0.823837833837071,-0.64060851746771,-0.560443794990263,-1.13308519828059,-1.05812627143527,-0.996742543073049,-1.06607980472028,-0.861404644839105,-0.854874033824106,-3.02300283683794,-2.41206037188742,-2.56013943374208,-1.03307713679864,-0.874497270922518,-0.827061419693024,-0.0710674263980118,-0.0662634187882314,-0.0877226601399207
"2011-Q2","15945.1",304,666.5,133.9,1466.1,1644,140.8,1592.7,201,369.1,8,4472.2,0.0679754930459282,18373.4,0.0797947032122525,15245.5,0.104470171526024,8,2.07610606060606,3.30820972886762,2.75633433014354,2.83339872408293,2.76817025518341,3.93467384370016,3.27298863636364,2.69292703349282,3.25023106060606,2.56697188995215,2.71699282296651,4.24561164274322,3.62045454545455,4.03625159489633,3.35125677830941,3.35849840510367,2.49110526578947,1.65551295526316,3.28628708947368,3.79291030789474,2.04583832894737,2.15872648157895,2.93052273157895,3.61549142894737,-0.823837833837071,-0.64060851746771,-0.560443794990263,-1.13308519828059,-1.05812627143527,-0.996742543073049,-1.06607980472028,-0.861404644839105,-0.854874033824106,-3.02300283683794,-2.41206037188742,-2.56013943374208,-1.03307713679864,-0.874497270922518,-0.827061419693024,-0.0702239277283632,-0.065995120522709,-0.0913588798923153
